mode,elapsed_ms,iter,pipe,warp_id,tma_start,tma_end,tma_cycles,mma_start,mma_end,mma_cycles,ld_start,ld_end,ld_cycles,pack_start,pack_end,pack_cycles,st_start,st_end,st_cycles,v_tma_start,v_tma_end,v_tma_cycles,pv_start,pv_end,pv_cycles,total_start,total_end,total_cycles,ld_warp0_start,ld_warp0_end,ld_warp1_start,ld_warp1_end,ld_warp2_start,ld_warp2_end,ld_warp3_start,ld_warp3_end,ld_warp4_start,ld_warp4_end,ld_warp5_start,ld_warp5_end,ld_warp6_start,ld_warp6_end,ld_warp7_start,ld_warp7_end,pack_warp0_start,pack_warp0_end,pack_warp1_start,pack_warp1_end,pack_warp2_start,pack_warp2_end,pack_warp3_start,pack_warp3_end,pack_warp4_start,pack_warp4_end,pack_warp5_start,pack_warp5_end,pack_warp6_start,pack_warp6_end,pack_warp7_start,pack_warp7_end,st_warp0_start,st_warp0_end,st_warp1_start,st_warp1_end,st_warp2_start,st_warp2_end,st_warp3_start,st_warp3_end,st_warp4_start,st_warp4_end,st_warp5_start,st_warp5_end,st_warp6_start,st_warp6_end,st_warp7_start,st_warp7_end,status,cuda_error,notes
qk_pack_smem_pv_2pipe_trace,0.105376,20,0,0,69910,71032,1122,73808,74582,774,77046,78244,1198,77069,79312,2243,77710,80068,2358,77283,78136,853,80600,81690,1090,69910,81690,11780,77050,77071,78002,78151,77047,77068,78003,78159,77049,77070,78088,78198,77046,77067,78182,78244,77073,77708,78198,79248,77070,77708,78206,79253,77072,77732,78245,79272,77069,77742,78291,79312,77710,77989,79250,80060,77710,77990,79255,80009,77734,78071,79274,79903,77744,78164,79314,80068,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,21,1,1,72006,72826,820,75092,76043,951,78064,80019,1955,78087,80687,2600,79180,81095,1915,78241,79184,943,81595,82347,752,72006,82347,10341,78064,78085,79871,80019,78073,78094,79844,79979,78080,78107,79519,79662,78089,78110,79735,79888,78087,79203,80064,80668,78096,79219,80023,80687,78109,79178,79704,80287,78112,79221,79931,80529,79205,79858,80670,81095,79221,79831,80689,81051,79180,79506,80289,80481,79223,79722,80531,80980,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,22,0,0,75209,76189,980,78361,79333,972,81533,82726,1193,81552,83547,1995,82192,84454,2262,81816,82664,848,85730,86583,853,75209,86583,11374,81533,81550,82631,82648,81538,81555,82668,82686,81537,81554,82703,82720,81539,81556,82708,82726,81552,82190,82695,83532,81557,82198,82731,83506,81556,82224,82767,83531,81558,82214,82776,83547,82192,82446,83534,84454,82200,82500,83508,84362,82226,82556,83533,84336,82216,82548,83549,84361,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,23,1,1,76236,77123,887,80134,81041,907,82312,84238,1926,82331,84901,2570,83171,85345,2174,82770,83671,901,86485,87460,975,76236,87460,11224,82314,82331,84221,84238,82316,82333,83874,83891,82318,82335,83885,83902,82312,82329,83872,83889,82333,83275,84280,84901,82335,83177,83933,84497,82337,83177,83944,84505,82331,83169,83932,84496,83277,84083,84903,85345,83179,83698,84499,85160,83179,83711,84507,85201,83171,83690,84498,85161,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,24,0,0,79886,80986,1100,82848,83615,767,86475,87621,1146,86498,88793,2295,87123,89702,2579,86898,87762,864,90279,91582,1303,79886,91582,11696,86480,86501,87365,87512,86478,86499,87364,87507,86476,86497,87575,87621,86475,86496,87495,87598,86503,87123,87554,88600,86501,87121,87549,88616,86499,87164,87671,88793,86498,87145,87640,88776,87125,87352,88602,89204,87123,87351,88618,89305,87166,87562,88795,89678,87147,87482,88778,89702,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,25,1,1,81314,82258,944,84355,85218,863,87621,89847,2226,87644,90511,2867,88678,90909,2231,87945,88887,942,91455,92238,783,81314,92238,10924,87626,87647,89560,89702,87621,87642,89553,89697,87673,87694,89594,89736,87659,87680,89739,89847,87649,88701,89744,90343,87644,88676,89740,90359,87696,88785,89780,90384,87682,88792,89890,90511,88703,89547,90345,90656,88678,89540,90361,90728,88787,89581,90386,90825,88794,89726,90513,90909,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,26,0,0,84352,85291,939,87742,88509,767,91437,92657,1220,91456,93450,1994,92139,94331,2192,91781,92782,1001,95559,96411,852,84352,96411,12059,91437,91454,92516,92533,91439,91456,92561,92579,91441,91458,92601,92618,91445,91464,92640,92657,91456,92137,92580,93426,91458,92145,92626,93417,91460,92181,92665,93425,91466,92178,92705,93450,92139,92355,93428,94331,92147,92426,93419,94213,92183,92490,93427,94201,92180,92543,93452,94283,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,27,1,1,85419,86294,875,89966,90757,791,92216,94080,1864,92235,94748,2513,93067,95220,2153,92630,93543,913,96318,97088,770,85419,97088,11669,92219,92236,94063,94080,92221,92238,93829,93846,92224,92241,93712,93729,92216,92233,93727,93744,92238,93161,94122,94748,92240,93097,93888,94471,92243,93065,93771,94329,92235,93065,93786,94349,93163,93913,94750,95220,93099,93683,94473,95109,93067,93546,94331,94743,93067,93555,94351,94748,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,28,0,0,88608,89655,1047,92775,93545,770,96304,97490,1186,96327,98522,2195,96971,99312,2341,96539,97390,851,99775,101051,1276,88608,101051,12443,96313,96334,97256,97390,96308,96329,97263,97397,96304,96325,97353,97462,96308,96329,97423,97490,96336,96969,97435,98498,96331,96969,97439,98480,96327,96993,97510,98501,96331,97003,97540,98522,96971,97243,98500,99312,96971,97249,98482,99043,96995,97340,98503,99083,97005,97405,98524,99184,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
qk_pack_smem_pv_2pipe_trace,0.105376,29,1,1,91034,91946,912,94198,95083,885,97286,99401,2115,97310,100053,2743,98395,100282,1887,97492,98390,898,101069,101809,740,91034,101809,10775,97309,97330,99093,99249,97546,97568,99314,99401,97307,97328,98627,98775,97286,97308,98662,98810,97332,98450,99293,99905,97570,98565,99446,100053,97330,98393,98817,99394,97310,98401,98852,99405,98452,99080,99907,100033,98567,99301,100055,100282,98395,98614,99396,99710,98403,98649,99407,99740,ok,no error,warp0_1_k_tma_qk_mma_warp2_3_v_tma_pv_mma_pipe_consumers_x64_exp2_pack_store_x2_p_done_after_ld_pv_pingpong_dep
