iter,warp,pipe,stage,start_norm,end_norm,cycles,rate_148sm
2,4.h0,0,LD,7809,7826,17,82.373 TB/s
2,4.h0,0,PACK,7828,8448,620,reg
2,4.h0,0,ST,8450,8668,218,3.212 TB/s
2,4.h1,0,LD,8837,8854,17,82.373 TB/s
2,4.h1,0,PACK,8901,9951,1050,reg
2,4.h1,0,ST,9953,11056,1103,0.635 TB/s
2,5.h0,0,LD,7820,7837,17,82.373 TB/s
2,5.h0,0,PACK,7839,8456,617,reg
2,5.h0,0,ST,8458,8692,234,2.992 TB/s
2,5.h1,0,LD,8855,8872,17,82.373 TB/s
2,5.h1,0,PACK,8919,9959,1040,reg
2,5.h1,0,ST,9961,11032,1071,0.654 TB/s
2,6.h0,0,LD,7815,7832,17,82.373 TB/s
2,6.h0,0,PACK,7834,8490,656,reg
2,6.h0,0,ST,8492,8822,330,2.122 TB/s
2,6.h1,0,LD,8952,8969,17,82.373 TB/s
2,6.h1,0,PACK,9016,9967,951,reg
2,6.h1,0,ST,9969,10966,997,0.702 TB/s
2,7.h0,0,LD,7819,7838,19,73.702 TB/s
2,7.h0,0,PACK,7840,8488,648,reg
2,7.h0,0,ST,8490,8825,335,2.090 TB/s
2,7.h1,0,LD,8950,8967,17,82.373 TB/s
2,7.h1,0,PACK,9014,9992,978,reg
2,7.h1,0,ST,9994,10992,998,0.702 TB/s
3,1,1,K TMA,2656,3469,813,6.890 TB/s
3,1,1,QK MMA,4649,5728,1079,664.5 TFLOP/s
3,3,1,V TMA,9201,10179,978,5.727 TB/s
3,3,1,PV MMA,12594,13463,869,825.1 TFLOP/s
3,8.h0,1,LD,8771,8788,17,82.373 TB/s
3,8.h0,1,PACK,8790,9900,1110,reg
3,8.h0,1,ST,9902,10709,807,0.868 TB/s
3,8.h1,1,LD,10852,10869,17,82.373 TB/s
3,8.h1,1,PACK,10912,11520,608,reg
3,8.h1,1,ST,11522,12021,499,1.403 TB/s
3,9.h0,1,LD,8777,8794,17,82.373 TB/s
3,9.h0,1,PACK,8796,9908,1112,reg
3,9.h0,1,ST,9910,10685,775,0.903 TB/s
3,9.h1,1,LD,10844,10861,17,82.373 TB/s
3,9.h1,1,PACK,10903,11538,635,reg
3,9.h1,1,ST,11540,11993,453,1.546 TB/s
3,10.h0,1,LD,8773,8790,17,82.373 TB/s
3,10.h0,1,PACK,8792,9860,1068,reg
3,10.h0,1,ST,9862,10376,514,1.362 TB/s
3,10.h1,1,LD,10533,10550,17,82.373 TB/s
3,10.h1,1,PACK,10592,11174,582,reg
3,10.h1,1,ST,11179,11618,439,1.595 TB/s
3,11.h0,1,LD,8776,8793,17,82.373 TB/s
3,11.h0,1,PACK,8795,9868,1073,reg
3,11.h0,1,ST,9870,10497,627,1.117 TB/s
3,11.h1,1,LD,10659,10676,17,82.373 TB/s
3,11.h1,1,PACK,10718,11303,585,reg
3,11.h1,1,ST,11305,11787,482,1.453 TB/s
4,0,0,K TMA,6232,7131,899,6.231 TB/s
4,0,0,QK MMA,9085,9852,767,934.8 TFLOP/s
4,2,0,V TMA,12746,13631,885,6.329 TB/s
4,2,0,PV MMA,16080,16979,899,797.5 TFLOP/s
4,4.h0,0,LD,12589,12610,21,66.683 TB/s
4,4.h0,0,PACK,12612,13243,631,reg
4,4.h0,0,ST,13245,13432,187,3.744 TB/s
4,4.h1,0,LD,13447,13577,130,10.772 TB/s
4,4.h1,0,PACK,13624,14654,1030,reg
4,4.h1,0,ST,14656,15511,855,0.819 TB/s
4,5.h0,0,LD,12585,12606,21,66.683 TB/s
4,5.h0,0,PACK,12608,13241,633,reg
4,5.h0,0,ST,13243,13426,183,3.826 TB/s
4,5.h1,0,LD,13441,13564,123,11.385 TB/s
4,5.h1,0,PACK,13611,14641,1030,reg
4,5.h1,0,ST,14643,15485,842,0.832 TB/s
4,6.h0,0,LD,12590,12611,21,66.683 TB/s
4,6.h0,0,PACK,12613,13290,677,reg
4,6.h0,0,ST,13292,13577,285,2.457 TB/s
4,6.h1,0,LD,13591,13641,50,28.007 TB/s
4,6.h1,0,PACK,13688,14658,970,reg
4,6.h1,0,ST,14660,15390,730,0.959 TB/s
4,7.h0,0,LD,12905,12926,21,66.683 TB/s
4,7.h0,0,PACK,12928,13690,762,reg
4,7.h0,0,ST,13692,13829,137,5.111 TB/s
4,7.h1,0,LD,13847,13869,22,63.652 TB/s
4,7.h1,0,PACK,13916,14773,857,reg
4,7.h1,0,ST,14775,15267,492,1.423 TB/s
5,1,1,K TMA,6254,7392,1138,4.922 TB/s
5,1,1,QK MMA,10984,11857,873,821.3 TFLOP/s
5,3,1,V TMA,13665,14591,926,6.049 TB/s
5,3,1,PV MMA,17010,17780,770,931.1 TFLOP/s
5,8.h0,1,LD,13461,13482,21,66.683 TB/s
5,8.h0,1,PACK,13484,14584,1100,reg
5,8.h0,1,ST,14586,15246,660,1.061 TB/s
5,8.h1,1,LD,15259,15412,153,9.153 TB/s
5,8.h1,1,PACK,15456,16115,659,reg
5,8.h1,1,ST,16117,16412,295,2.373 TB/s
5,9.h0,1,LD,13454,13475,21,66.683 TB/s
5,9.h0,1,PACK,13477,14560,1083,reg
5,9.h0,1,ST,14562,15179,617,1.135 TB/s
5,9.h1,1,LD,15192,15340,148,9.462 TB/s
5,9.h1,1,PACK,15382,15991,609,reg
5,9.h1,1,ST,15993,16395,402,1.742 TB/s
5,10.h0,1,LD,13451,13472,21,66.683 TB/s
5,10.h0,1,PACK,13474,14520,1046,reg
5,10.h0,1,ST,14522,14964,442,1.584 TB/s
5,10.h1,1,LD,14977,15124,147,9.526 TB/s
5,10.h1,1,PACK,15166,15741,575,reg
5,10.h1,1,ST,15743,15999,256,2.735 TB/s
5,11.h0,1,LD,13405,13427,22,63.652 TB/s
5,11.h0,1,PACK,13429,14456,1027,reg
5,11.h0,1,ST,14458,14631,173,4.047 TB/s
5,11.h1,1,LD,14644,14824,180,7.780 TB/s
5,11.h1,1,PACK,14868,15425,557,reg
5,11.h1,1,ST,15427,15773,346,2.024 TB/s
6,0,0,K TMA,10329,11455,1126,4.975 TB/s
6,0,0,QK MMA,13989,14929,940,762.7 TFLOP/s
6,2,0,V TMA,17189,18041,852,6.574 TB/s
6,2,0,PV MMA,21047,21900,853,840.5 TFLOP/s
6,4.h0,0,LD,16970,16987,17,82.373 TB/s
6,4.h0,0,PACK,16989,17626,637,reg
6,4.h0,0,ST,17628,17867,239,2.930 TB/s
6,4.h1,0,LD,18079,18096,17,82.373 TB/s
6,4.h1,0,PACK,18141,18947,806,reg
6,4.h1,0,ST,18949,19697,748,0.936 TB/s
6,5.h0,0,LD,16965,16982,17,82.373 TB/s
6,5.h0,0,PACK,16984,17618,634,reg
6,5.h0,0,ST,17620,17843,223,3.140 TB/s
6,5.h1,0,LD,18048,18065,17,82.373 TB/s
6,5.h1,0,PACK,18112,18937,825,reg
6,5.h1,0,ST,18939,19851,912,0.768 TB/s
6,6.h0,0,LD,16973,16990,17,82.373 TB/s
6,6.h0,0,PACK,16992,17660,668,reg
6,6.h0,0,ST,17662,18019,357,1.961 TB/s
6,6.h1,0,LD,18127,18144,17,82.373 TB/s
6,6.h1,0,PACK,18191,18937,746,reg
6,6.h1,0,ST,18939,19712,773,0.906 TB/s
6,7.h0,0,LD,16974,16991,17,82.373 TB/s
6,7.h0,0,PACK,16993,17650,657,reg
6,7.h0,0,ST,17652,18008,356,1.967 TB/s
6,7.h1,0,LD,18127,18144,17,82.373 TB/s
6,7.h1,0,PACK,18194,18961,767,reg
6,7.h1,0,ST,18963,19769,806,0.869 TB/s
7,1,1,K TMA,12104,13015,911,6.149 TB/s
7,1,1,QK MMA,15531,16518,987,726.4 TFLOP/s
7,3,1,V TMA,18196,19096,900,6.224 TB/s
7,3,1,PV MMA,21801,22570,769,932.3 TFLOP/s
7,8.h0,1,LD,17728,17745,17,82.373 TB/s
7,8.h0,1,PACK,17747,18576,829,reg
7,8.h0,1,ST,18578,19090,512,1.368 TB/s
7,8.h1,1,LD,19263,19280,17,82.373 TB/s
7,8.h1,1,PACK,19322,19911,589,reg
7,8.h1,1,ST,19913,20585,672,1.042 TB/s
7,9.h0,1,LD,17731,17748,17,82.373 TB/s
7,9.h0,1,PACK,17750,18663,913,reg
7,9.h0,1,ST,18665,19396,731,0.958 TB/s
7,9.h1,1,LD,19526,19543,17,82.373 TB/s
7,9.h1,1,PACK,19585,20186,601,reg
7,9.h1,1,ST,20188,20659,471,1.487 TB/s
7,10.h0,1,LD,17726,17743,17,82.373 TB/s
7,10.h0,1,PACK,17745,18551,806,reg
7,10.h0,1,ST,18553,18772,219,3.197 TB/s
7,10.h1,1,LD,19199,19216,17,82.373 TB/s
7,10.h1,1,PACK,19258,19813,555,reg
7,10.h1,1,ST,19815,20111,296,2.365 TB/s
7,11.h0,1,LD,17724,17741,17,82.373 TB/s
7,11.h0,1,PACK,17743,18583,840,reg
7,11.h0,1,ST,18585,19131,546,1.282 TB/s
7,11.h1,1,LD,19304,19321,17,82.373 TB/s
7,11.h1,1,PACK,19367,19929,562,reg
7,11.h1,1,ST,19931,20625,694,1.009 TB/s
